Journal Report 1 (R3)	Number of Successful Full-Text Article Requests by Month and Journal
MPI Wissenschaftsgeschichte
Date run:
2010-01-15
	Publisher	Platform	Print ISSN	Online ISSN	Jan-2010-2013	Feb-2010-2013	Mar-2010-2013	Apr-2010-2013	May-2010-2013	Jun-2010-2013	Jul-2010-2013	Aug-2010-2013	Sep-2010-2013	Oct-2010-2013	Nov-2010-2013	Dec-2010-2013	YTD Total	YTD HTML	YTD PDF
Total for all journals	 	Liebert Online	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIDS Patient Care and STDs	Mary Ann Liebert, Inc., publishers	Liebert Online	1087-2914	1557-7449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIDS Research and Human Retroviruses	Mary Ann Liebert, Inc., publishers	Liebert Online	0889-2229	1931-8405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alternative and Complementary Therapies	Mary Ann Liebert, Inc., publishers	Liebert Online	1076-2809	1557-9085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Antioxidants & Redox Signaling	Mary Ann Liebert, Inc., publishers	Liebert Online	1523-0864	1557-7716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASSAY and Drug Development Technologies	Mary Ann Liebert, Inc., publishers	Liebert Online	1540-658X	1557-8127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Astrobiology	Mary Ann Liebert, Inc., publishers	Liebert Online	1531-1074	1557-8070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bariatric Nursing and Surgical Patient Care	Mary Ann Liebert, Inc., publishers	Liebert Online	1557-1459	1557-1467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biopreservation and Biobanking	Mary Ann Liebert, Inc., publishers	Liebert Online	1947-5535	1947-5543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biosecurity and Bioterrorism: Biodefense Strategy, Practice, and Science	Mary Ann Liebert, Inc., publishers	Liebert Online	1538-7135	1557-850X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biotechnology Law Report	Mary Ann Liebert, Inc., publishers	Liebert Online	0730-031X	1557-8704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biotech Software & Internet Report	Mary Ann Liebert, Inc., publishers	Liebert Online	1527-9162		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Breastfeeding Medicine	Mary Ann Liebert, Inc., publishers	Liebert Online	1556-8253	1556-8342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cancer Biotherapy & Radiopharmaceuticals	Mary Ann Liebert, Inc., publishers	Liebert Online	1084-9785	1557-8852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cellular Reprogramming	Mary Ann Liebert, Inc., publishers	Liebert Online	2152-4971	2152-4998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cloning and Stem Cells	Mary Ann Liebert, Inc., publishers	Liebert Online	1536-2302	1557-7457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyberpsychology, Behavior, and Social Networking	Mary Ann Liebert, Inc., publishers	Liebert Online	2152-2715	2152-2723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CyberPsychology & Behavior	Mary Ann Liebert, Inc., publishers	Liebert Online	1094-9313	1557-8364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diabetes Technology & Therapeutics	Mary Ann Liebert, Inc., publishers	Liebert Online	1520-9156	1557-8593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA and Cell Biology	Mary Ann Liebert, Inc., publishers	Liebert Online	1044-5498	1557-7430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e-biomed: The Journal of Regenerative Medicine	Mary Ann Liebert, Inc., publishers	Liebert Online	1524-8909		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ecopsychology	Mary Ann Liebert, Inc., publishers	Liebert Online		1942-9347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
