Journal Report 1 (R4)	Number of Successful Full-Text Article Requests by Month and Journal	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Max Planck Institute for the Science of Human History "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
Period covered by Report:	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2014-01-01 to 2014-12-31	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
Date run:	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2015-06-12	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
Journal	Publisher	Platform	Journal DOI	Proprietary Identifier	Print ISSN	Online ISSN	Reporting Period Total	Reporting Period HTML	Reporting Period PDF	Jan-2014	Feb-2014	Mar-2014	Apr-2014	May-2014	Jun-2014	Jul-2014	Aug-2014	Sep-2014	Oct-2014	Nov-2014	Dec-2014
Total for all journals	""	De Gruyter Online	""	""	""	""	12	1	11	0	0	1	3	0	0	2	1	2	1	0	2
ABI Technik (abitech)	De Gruyter	De Gruyter Online	""	abitech	0720-6763	2191-4664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Advanced Optics Technologies (aot)	De Gruyter	De Gruyter Online	""	aot	2192-8576	2192-8584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Advances in Calculus of Variations (acv)	De Gruyter	De Gruyter Online	""	acv	1864-8258	1864-8266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Advances in Geometry (advg)	De Gruyter	De Gruyter Online	""	advg	1615-715X	1615-7168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Advances in Nonlinear Analysis (anona)	De Gruyter	De Gruyter Online	""	anona	2191-9496	2191-950X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Advances in Pure and Applied Mathematics (apam)	De Gruyter	De Gruyter Online	""	apam	1867-1152	1869-6090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Angermion (ang)	De Gruyter	De Gruyter Online	""	ang	1438-2091	1868-9426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anglia (angl)	De Gruyter	De Gruyter Online	""	angl	0340-5222	1865-8938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Antike und Abendland (anti)	De Gruyter	De Gruyter Online	""	anti	0003-5696	1613-0421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arbitrium (arbi)	De Gruyter	De Gruyter Online	""	arbi	0723-2977	1865-8849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arcadia (arca)	De Gruyter	De Gruyter Online	""	arca	0003-7982	1613-0642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archiv für Geschichte der Philosophie (agph)	De Gruyter	De Gruyter Online	""	agph	0003-9101	1613-0650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archiv für Papyrusforschung und verwandte Gebiete (apf)	De Gruyter	De Gruyter Online	""	apf	0066-6459	1867-1551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archiv für Religionsgeschichte (afgs)	De Gruyter	De Gruyter Online	""	afgs	1436-3038	1868-8888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aschkenas (asch)	De Gruyter	De Gruyter Online	""	asch	1016-4987	1865-9438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
at - Automatisierungstechnik (auto)	De Gruyter	De Gruyter Online	""	auto	0178-2312	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beiträge zur Geschichte der deutschen Sprache und Literatur (bgsl)	De Gruyter	De Gruyter Online	""	bgsl	0005-8076	1865-9373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
