"Book Report 2 (R1) "," Number of Successful Section Requests by Month and Title "
"MPI WG"
Date run:
"2010-01-06"
"","Publisher","Platform","ISBN","ISSN","Jan-2009","Feb-2009","Mar-2009","Apr-2009","May-2009","Jun-2009","Jul-2009","Aug-2009","Sep-2009","Oct-2009","Nov-2009","Dec-2009","YTD Total"
"Total for all books","","","","",1009,1221,1350,1512,9984,9122,968,542,577,2561,733,549,30128
"Biochemistry 2-D Proteome Analysis Protocols","Humana Press","SpringerProtocols","978-0-89603-524-9","",6,1,3,0,58,4,2,0,0,1,0,1,76
"Biochemistry Affinity Chromatography: Methods and Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-694-9","",1,5,3,19,1,19,1,0,1,0,0,0,50
"Biochemistry Alcohol: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-906-2","",2,0,0,0,2,26,0,0,1,2,0,0,33
"Biochemistry Amino Acid Analysis Protocols","Humana Press","SpringerProtocols","978-0-89603-656-7","",0,1,7,19,20,0,0,3,0,0,0,0,50
"Biochemistry Antibody Engineering: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-092-2","",1,2,0,0,2,34,1,1,2,2,3,0,48
"Biochemistry Bioconjugation Protocols: Strategies and Methods","Humana Press","SpringerProtocols","978-1-58829-098-4","",0,1,2,2,3,24,0,1,0,0,0,1,34
"Biochemistry Bioinformatics Methods in Clinical Research","Humana Press","SpringerProtocols","978-1-60327-193-6","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Biochemistry Bioluminescence Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-520-1","",2,3,3,0,26,3,2,4,3,0,0,2,48
"Biochemistry Bioluminescence: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60327-320-6","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Biochemistry Biopolymer Methods in Tissue Engineering","Humana Press","SpringerProtocols","978-0-89603-967-4","",1,2,0,0,0,19,1,0,1,0,2,0,26
